text	result	texPattern	valuePattern	form
morning of March 25th, 2021, Thursday	2021-03-25TMO	DAY_TIME:$3 of MONTH:$1 ORD:$2 , YEAR:$0 , WEEK:$4	Action:BasicModify Value:$0 TimeUnit:Year Action:Modify* Enum:$1 Action:BasicModify Value:$2 TimeUnit:Day Action:Modify* Enum:$3	POINT
the morning of March 25 2021	2021-03-25TMO	the DAY_TIME:$3 of MONTH:$1 NUM:$2 YEAR:$0	Action:BasicModify Value:$0 TimeUnit:Year Action:Modify* Enum:$1 Action:BasicModify Value:$2 TimeUnit:Day Action:Modify* Enum:$3	POINT
the morning of March 25, 2021	2021-03-25TMO	the DAY_TIME:$3 of MONTH:$1 NUM:$2 , YEAR:$0	Action:BasicModify Value:$0 TimeUnit:Year Action:Modify* Enum:$1 Action:BasicModify Value:$2 TimeUnit:Day Action:Modify* Enum:$3	POINT
the morning of March 25 2021, Thursday	2021-03-25TMO	the DAY_TIME:$3 of MONTH:$1 NUM:$2 YEAR:$0 , WEEK:$4	Action:BasicModify Value:$0 TimeUnit:Year Action:Modify* Enum:$1 Action:BasicModify Value:$2 TimeUnit:Day Action:Modify* Enum:$3	POINT
the morning of March 25, 2021, Thursday	2021-03-25TMO	the DAY_TIME:$3 of MONTH:$1 NUM:$2 , YEAR:$0 , WEEK:$4	Action:BasicModify Value:$0 TimeUnit:Year Action:Modify* Enum:$1 Action:BasicModify Value:$2 TimeUnit:Day Action:Modify* Enum:$3	POINT
the morning of March 25th 2021	2021-03-25TMO	the DAY_TIME:$3 of MONTH:$1 ORD:$2 YEAR:$0	Action:BasicModify Value:$0 TimeUnit:Year Action:Modify* Enum:$1 Action:BasicModify Value:$2 TimeUnit:Day Action:Modify* Enum:$3	POINT
the morning of March 25th, 2021	2021-03-25TMO	the DAY_TIME:$3 of MONTH:$1 ORD:$2 , YEAR:$0	Action:BasicModify Value:$0 TimeUnit:Year Action:Modify* Enum:$1 Action:BasicModify Value:$2 TimeUnit:Day Action:Modify* Enum:$3	POINT
the morning of March 25th 2021, Thursday	2021-03-25TMO	the DAY_TIME:$3 of MONTH:$1 ORD:$2 YEAR:$0 , WEEK:$4	Action:BasicModify Value:$0 TimeUnit:Year Action:Modify* Enum:$1 Action:BasicModify Value:$2 TimeUnit:Day Action:Modify* Enum:$3	POINT
the morning of March 25th, 2021, Thursday	2021-03-25TMO	the DAY_TIME:$3 of MONTH:$1 ORD:$2 , YEAR:$0 , WEEK:$4	Action:BasicModify Value:$0 TimeUnit:Year Action:Modify* Enum:$1 Action:BasicModify Value:$2 TimeUnit:Day Action:Modify* Enum:$3	POINT
morning of April 25	2121-04-25TMO	DAY_TIME:$2 of MONTH:$0 NUM:$1	Action:Modify* Enum:$0 Action:BasicModify Value:$1 TimeUnit:Day Action:Modify* Enum:$2	POINT
morning of April 25th	2121-04-25TMO	DAY_TIME:$2 of MONTH:$0 ORD:$1	Action:Modify* Enum:$0 Action:BasicModify Value:$1 TimeUnit:Day Action:Modify* Enum:$2	POINT
the morning of April 25	2121-04-25TMO	the DAY_TIME:$2 of MONTH:$0 NUM:$1	Action:Modify* Enum:$0 Action:BasicModify Value:$1 TimeUnit:Day Action:Modify* Enum:$2	POINT
the morning of April 25th	2121-04-25TMO	the DAY_TIME:$2 of MONTH:$0 ORD:$1	Action:Modify* Enum:$0 Action:BasicModify Value:$1 TimeUnit:Day Action:Modify* Enum:$2	POINT
morning of 20 April 2005	2005-04-20TMO	DAY_TIME:$3 of NUM:$2 MONTH:$1 YEAR:$0	Action:BasicModify Value:$0 TimeUnit:Year Action:Modify* Enum:$1 Action:BasicModify Value:$2 TimeUnit:Day Action:Modify* Enum:$3	POINT
morning of twentieth April 2005	2005-04-20TMO	DAY_TIME:$3 of ORD:$2 MONTH:$1 YEAR:$0	Action:BasicModify Value:$0 TimeUnit:Year Action:Modify* Enum:$1 Action:BasicModify Value:$2 TimeUnit:Day Action:Modify* Enum:$3	POINT
the morning of 20 April 2005	2005-04-20TMO	the DAY_TIME:$3 of NUM:$2 MONTH:$1 YEAR:$0	Action:BasicModify Value:$0 TimeUnit:Year Action:Modify* Enum:$1 Action:BasicModify Value:$2 TimeUnit:Day Action:Modify* Enum:$3	POINT
the morning of twentieth April 2005	2005-04-20TMO	the DAY_TIME:$3 of ORD:$2 MONTH:$1 YEAR:$0	Action:BasicModify Value:$0 TimeUnit:Year Action:Modify* Enum:$1 Action:BasicModify Value:$2 TimeUnit:Day Action:Modify* Enum:$3	POINT
morning of 20 of April 2005	2005-04-20TMO	DAY_TIME:$3 of NUM:$2 of MONTH:$1 YEAR:$0	Action:BasicModify Value:$0 TimeUnit:Year Action:Modify* Enum:$1 Action:BasicModify Value:$2 TimeUnit:Day Action:Modify* Enum:$3	POINT
morning of twentieth of April 2005	2005-04-20TMO	DAY_TIME:$3 of ORD:$2 of MONTH:$1 YEAR:$0	Action:BasicModify Value:$0 TimeUnit:Year Action:Modify* Enum:$1 Action:BasicModify Value:$2 TimeUnit:Day Action:Modify* Enum:$3	POINT
the morning of 20 of April 2005	2005-04-20TMO	the DAY_TIME:$3 of NUM:$2 of MONTH:$1 YEAR:$0	Action:BasicModify Value:$0 TimeUnit:Year Action:Modify* Enum:$1 Action:BasicModify Value:$2 TimeUnit:Day Action:Modify* Enum:$3	POINT
the morning of twentieth of April 2005	2005-04-20TMO	the DAY_TIME:$3 of ORD:$2 of MONTH:$1 YEAR:$0	Action:BasicModify Value:$0 TimeUnit:Year Action:Modify* Enum:$1 Action:BasicModify Value:$2 TimeUnit:Day Action:Modify* Enum:$3	POINT
morning of the 20 April 2005	2005-04-20TMO	DAY_TIME:$3 of the NUM:$2 MONTH:$1 YEAR:$0	Action:BasicModify Value:$0 TimeUnit:Year Action:Modify* Enum:$1 Action:BasicModify Value:$2 TimeUnit:Day Action:Modify* Enum:$3	POINT
morning of the twentieth April 2005	2005-04-20TMO	DAY_TIME:$3 of the ORD:$2 MONTH:$1 YEAR:$0	Action:BasicModify Value:$0 TimeUnit:Year Action:Modify* Enum:$1 Action:BasicModify Value:$2 TimeUnit:Day Action:Modify* Enum:$3	POINT
the morning of the 20 April 2005	2005-04-20TMO	the DAY_TIME:$3 of the NUM:$2 MONTH:$1 YEAR:$0	Action:BasicModify Value:$0 TimeUnit:Year Action:Modify* Enum:$1 Action:BasicModify Value:$2 TimeUnit:Day Action:Modify* Enum:$3	POINT
the morning of the twentieth April 2005	2005-04-20TMO	the DAY_TIME:$3 of the ORD:$2 MONTH:$1 YEAR:$0	Action:BasicModify Value:$0 TimeUnit:Year Action:Modify* Enum:$1 Action:BasicModify Value:$2 TimeUnit:Day Action:Modify* Enum:$3	POINT
morning of the 20 of April 2005	2005-04-20TMO	DAY_TIME:$3 of the NUM:$2 of MONTH:$1 YEAR:$0	Action:BasicModify Value:$0 TimeUnit:Year Action:Modify* Enum:$1 Action:BasicModify Value:$2 TimeUnit:Day Action:Modify* Enum:$3	POINT
morning of the twentieth of April 2005	2005-04-20TMO	DAY_TIME:$3 of the ORD:$2 of MONTH:$1 YEAR:$0	Action:BasicModify Value:$0 TimeUnit:Year Action:Modify* Enum:$1 Action:BasicModify Value:$2 TimeUnit:Day Action:Modify* Enum:$3	POINT
the morning of the 20 of April 2005	2005-04-20TMO	the DAY_TIME:$3 of the NUM:$2 of MONTH:$1 YEAR:$0	Action:BasicModify Value:$0 TimeUnit:Year Action:Modify* Enum:$1 Action:BasicModify Value:$2 TimeUnit:Day Action:Modify* Enum:$3	POINT
the morning of the twentieth of April 2005	2005-04-20TMO	the DAY_TIME:$3 of the ORD:$2 of MONTH:$1 YEAR:$0	Action:BasicModify Value:$0 TimeUnit:Year Action:Modify* Enum:$1 Action:BasicModify Value:$2 TimeUnit:Day Action:Modify* Enum:$3	POINT
morning of 20 April	2121-04-20TMO	DAY_TIME:$2 of NUM:$1 MONTH:$0	Action:Modify* Enum:$0 Action:BasicModify Value:$1 TimeUnit:Day Action:Modify* Enum:$2	POINT
morning of twentieth April	2121-04-20TMO	DAY_TIME:$2 of ORD:$1 MONTH:$0	Action:Modify* Enum:$0 Action:BasicModify Value:$1 TimeUnit:Day Action:Modify* Enum:$2	POINT
morning of the 20 April	2121-04-20TMO	DAY_TIME:$2 of the NUM:$1 MONTH:$0	Action:Modify* Enum:$0 Action:BasicModify Value:$1 TimeUnit:Day Action:Modify* Enum:$2	POINT
morning of the twentieth April	2121-04-20TMO	DAY_TIME:$2 of the ORD:$1 MONTH:$0	Action:Modify* Enum:$0 Action:BasicModify Value:$1 TimeUnit:Day Action:Modify* Enum:$2	POINT
morning of 20 of April	2121-04-20TMO	DAY_TIME:$2 of NUM:$1 of MONTH:$0	Action:Modify* Enum:$0 Action:BasicModify Value:$1 TimeUnit:Day Action:Modify* Enum:$2	POINT
morning of twentieth of April	2121-04-20TMO	DAY_TIME:$2 of ORD:$1 of MONTH:$0	Action:Modify* Enum:$0 Action:BasicModify Value:$1 TimeUnit:Day Action:Modify* Enum:$2	POINT
morning of the 20 of April	2121-04-20TMO	DAY_TIME:$2 of the NUM:$1 of MONTH:$0	Action:Modify* Enum:$0 Action:BasicModify Value:$1 TimeUnit:Day Action:Modify* Enum:$2	POINT
morning of the twentieth of April	2121-04-20TMO	DAY_TIME:$2 of the ORD:$1 of MONTH:$0	Action:Modify* Enum:$0 Action:BasicModify Value:$1 TimeUnit:Day Action:Modify* Enum:$2	POINT
the morning of 20 April	2121-04-20TMO	the DAY_TIME:$2 of NUM:$1 MONTH:$0	Action:Modify* Enum:$0 Action:BasicModify Value:$1 TimeUnit:Day Action:Modify* Enum:$2	POINT
the morning of twentieth April	2121-04-20TMO	the DAY_TIME:$2 of ORD:$1 MONTH:$0	Action:Modify* Enum:$0 Action:BasicModify Value:$1 TimeUnit:Day Action:Modify* Enum:$2	POINT
the morning of the 20 April	2121-04-20TMO	the DAY_TIME:$2 of the NUM:$1 MONTH:$0	Action:Modify* Enum:$0 Action:BasicModify Value:$1 TimeUnit:Day Action:Modify* Enum:$2	POINT
the morning of the twentieth April	2121-04-20TMO	the DAY_TIME:$2 of the ORD:$1 MONTH:$0	Action:Modify* Enum:$0 Action:BasicModify Value:$1 TimeUnit:Day Action:Modify* Enum:$2	POINT
the morning of 20 of April	2121-04-20TMO	the DAY_TIME:$2 of NUM:$1 of MONTH:$0	Action:Modify* Enum:$0 Action:BasicModify Value:$1 TimeUnit:Day Action:Modify* Enum:$2	POINT
the morning of twentieth of April	2121-04-20TMO	the DAY_TIME:$2 of ORD:$1 of MONTH:$0	Action:Modify* Enum:$0 Action:BasicModify Value:$1 TimeUnit:Day Action:Modify* Enum:$2	POINT
the morning of the 20 of April	2121-04-20TMO	the DAY_TIME:$2 of the NUM:$1 of MONTH:$0	Action:Modify* Enum:$0 Action:BasicModify Value:$1 TimeUnit:Day Action:Modify* Enum:$2	POINT
the morning of the twentieth of April	2121-04-20TMO	the DAY_TIME:$2 of the ORD:$1 of MONTH:$0	Action:Modify* Enum:$0 Action:BasicModify Value:$1 TimeUnit:Day Action:Modify* Enum:$2	POINT
